provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,35302.0,12612.0,579.0,0.0,35.7
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,48518.0,17239.0,1248.0,0.0,35.5
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,ROYAL SURREY NHS FOUNDATION TRUST,30399.0,10796.0,383.0,0.0,35.5
NHS BLACK COUNTRY INTEGRATED CARE BOARD,WEST MIDLANDS HOSPITAL,439.0,155.0,8.0,0.0,35.3
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,43666.0,15412.0,355.0,0.0,35.3
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,65401.0,23066.0,1195.0,2.0,35.3
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,ACES MANCHESTER,105.0,37.0,0.0,0.0,35.2
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,ROYAL FREE LONDON NHS FOUNDATION TRUST,133390.0,46820.0,1330.0,1.0,35.1
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,LEWISHAM AND GREENWICH NHS TRUST,55317.0,19418.0,839.0,0.0,35.1
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,STANDARD HEALTH LTD,120.0,42.0,0.0,0.0,35.0
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,BEAUMONT HOSPITAL,3115.0,1088.0,0.0,0.0,34.9
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",THE CHERWELL HOSPITAL,2059.0,719.0,8.0,0.0,34.9
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,HENDON HOSPITAL,1128.0,393.0,5.0,0.0,34.8
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,54264.0,18879.0,658.0,0.0,34.8
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,33132.0,11506.0,244.0,0.0,34.7
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,WYE VALLEY NHS TRUST,26031.0,9038.0,542.0,4.0,34.7
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",BATH CLINIC,748.0,259.0,0.0,0.0,34.6
NHS SOMERSET INTEGRATED CARE BOARD,SOMERSET NHS FOUNDATION TRUST,52302.0,18093.0,1028.0,0.0,34.6
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH,446.0,154.0,2.0,0.0,34.5
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,12591.0,4335.0,97.0,0.0,34.4
NHS DEVON INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,45707.0,15729.0,629.0,1.0,34.4
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,FAIRFIELD INDEPENDENT HOSPITAL,1625.0,559.0,29.0,0.0,34.4
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,45896.0,15798.0,58.0,0.0,34.4
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,NORTH DOWNS HOSPITAL,1514.0,518.0,10.0,0.0,34.2
NHS FRIMLEY INTEGRATED CARE BOARD,NEWMEDICA - BERKSHIRE,1515.0,518.0,14.0,0.0,34.2
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",68875.0,23411.0,862.0,0.0,34.0
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,75645.0,25722.0,958.0,0.0,34.0
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,WEST SUFFOLK NHS FOUNDATION TRUST,29130.0,9901.0,413.0,1.0,34.0
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31446.0,10636.0,63.0,0.0,33.8
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RIVERS HOSPITAL,4766.0,1605.0,24.0,0.0,33.7
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,77666.0,26171.0,1069.0,0.0,33.7
NHS SUSSEX INTEGRATED CARE BOARD,EAST SUSSEX HEALTHCARE NHS TRUST,57467.0,19351.0,463.0,0.0,33.7
NHS DEVON INTEGRATED CARE BOARD,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,33478.0,11253.0,596.0,0.0,33.6
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,83918.0,28208.0,1127.0,0.0,33.6
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,58229.0,19494.0,456.0,0.0,33.5
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PRACTICE PLUS GROUP HOSPITAL - ILFORD,4719.0,1577.0,14.0,2.0,33.4
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,890.0,296.0,0.0,0.0,33.3
